"","Sell Order","From","Quantity","Buy Price","Net Costs","Take To","Sell Price","Net Sales","Gross Margin","Sell Taxes","Net Profit","Profit Per Item","R.O.I","Total Volume (m3)"
"","Water","Amarr","24,910","521.98","13,002,521.80","Jita","566.79","14,118,738.90","1,116,217.10","395,324.69","720,892.41","28.94","5.5%","9,465.80"
"","Scourge Fury Cruise Missile","Jita","30,000","556.09","16,682,700.00","Hek","600.00","18,000,000.00","1,317,300.00","504,000.00","813,300.00","27.11","4.9%","1,500.00"
"","Shield Harmonizing Charge","Jita","7,279","481.00","3,501,199.00","Amarr","520.75","3,790,539.25","289,340.25","106,135.10","183,205.15","25.17","5.2%","72.79"
"","Carbon","Amarr","77","150.00","11,550.00","Rens","180.00","13,860.00","2,310.00","388.08","1,921.92","24.96","16.6%","0.77"
"","'Scarab' Layered Plating I","Hek","1","1.00","1.00","Dodixie","25.00","25.00","24.00","0.70","23.30","23.30","2330.0%","5.00"
"","Data Sheets","Amarr","32","150.77","4,824.64","Jita","178.57","5,714.24","889.60","160.00","729.60","22.80","15.1%","32.00"
"","Data Processor","Hek","86","500.00","43,000.00","Dodixie","537.52","46,226.72","3,226.72","1,294.35","1,932.37","22.47","4.5%","8.60"
"","Antibiotics","Amarr","10","332.00","3,320.00","Dodixie","363.40","3,634.00","314.00","101.75","212.25","21.22","6.4%","2.00"
"","Liquid Ozone","Hek","200,000","200.00","40,000,000.00","Dodixie","225.01","45,002,000.00","5,002,000.00","1,260,056.00","3,741,944.00","18.71","9.4%","80,000.00"
"","X-Instinct","Dodixie","3","10.00","30.00","Amarr","29.05","87.15","57.15","2.44","54.71","18.24","182.4%","3.00"
"","Sylramic Fibers","Jita","23,000","372.89","8,576,470.00","Amarr","400.00","9,200,000.00","623,530.00","257,600.00","365,930.00","15.91","4.3%","1,150.00"
"","Sylramic Fibers","Jita","21,146","372.89","7,885,131.94","Hek","400.00","8,458,400.00","573,268.06","236,835.20","336,432.86","15.91","4.3%","1,057.30"
"","Fernite Carbide","Dodixie","10,000","140.00","1,400,000.00","Rens","160.09","1,600,900.00","200,900.00","44,825.20","156,074.80","15.61","11.1%","100.00"
"","Biofuels","Amarr","6,220","216.00","1,343,520.00","Jita","237.98","1,480,235.60","136,715.60","41,446.60","95,269.00","15.32","7.1%","2,363.60"
"","Current Amplifier","Dodixie","151","274.00","41,374.00","Jita","297.00","44,847.00","3,473.00","1,255.72","2,217.28","14.68","5.4%","15.10"
"","Mechanic Parts","Hek","46","90.00","4,140.00","Amarr","107.00","4,922.00","782.00","137.82","644.18","14.00","15.6%","4.60"
"","Ample Compounds","Jita","5","280.00","1,400.00","Dodixie","300.01","1,500.05","100.05","42.00","58.05","11.61","4.1%","0.01"
"","Lead Charge M","Amarr","100","35.00","3,500.00","Jita","47.39","4,739.00","1,239.00","132.69","1,106.31","11.06","31.6%","1.25"
"","Titanium Carbide","Jita","25,000","179.65","4,491,250.00","Dodixie","195.00","4,875,000.00","383,750.00","136,500.00","247,250.00","9.89","5.5%","250.00"
"","Titanium Carbide","Jita","110,600","185.00","20,461,000.00","Amarr","200.00","22,120,000.00","1,659,000.00","619,360.00","1,039,640.00","9.40","5.1%","1,106.00"
"","Liquid Ozone","Amarr","50,781","175.52","8,913,081.12","Rens","190.04","9,650,421.24","737,340.12","270,211.79","467,128.33","9.20","5.2%","20,312.40"
"","Liquid Ozone","Jita","200,000","209.95","41,990,000.00","Dodixie","225.01","45,002,000.00","3,012,000.00","1,260,056.00","1,751,944.00","8.76","4.2%","80,000.00"
"","Fernite Carbide","Amarr","10,000","147.00","1,470,000.00","Rens","160.09","1,600,900.00","130,900.00","44,825.20","86,074.80","8.61","5.9%","100.00"
"","Fernite Carbide","Jita","10,000","147.40","1,474,000.00","Rens","160.09","1,600,900.00","126,900.00","44,825.20","82,074.80","8.21","5.6%","100.00"
"","Ample Electronics","Jita","38","138.98","5,281.24","Hek","150.01","5,700.38","419.14","159.61","259.53","6.83","4.9%","0.04"
"","Auxiliary Parts","Amarr","70","139.96","9,797.20","Jita","151.00","10,570.00","772.80","295.96","476.84","6.81","4.9%","7.00"
"","Wheat","Rens","10","4.18","41.80","Dodixie","10.20","102.00","60.20","2.86","57.34","5.73","137.2%","11.50"
"","Depleted Uranium L","Dodixie","200","79.60","15,920.00","Hek","87.12","17,424.00","1,504.00","487.87","1,016.13","5.08","6.4%","5.00"
"","Tobacco","Dodixie","77","44.91","3,458.07","Jita","51.06","3,931.62","473.55","110.09","363.46","4.72","10.5%","15.40"
"","Auxiliary Parts","Dodixie","31","116.00","3,596.00","Amarr","124.10","3,847.10","251.10","107.72","143.38","4.63","4.0%","3.10"
"","Scourge Heavy Missile","Amarr","16,278","45.00","732,510.00","Hek","50.00","813,900.00","81,390.00","22,789.20","58,600.80","3.60","8.0%","488.34"
"","Scordite","Amarr","36","23.71","853.56","Jita","27.77","999.72","146.16","27.99","118.17","3.28","13.8%","5.40"
"","Mexallon","Hek","1,930,408","62.45","120,553,979.60","Jita","66.81","128,970,558.48","8,416,578.88","3,611,175.64","4,805,403.24","2.49","4.0%","19,304.08"
"","Mjolnir Light Missile","Dodixie","6,491","15.98","103,726.18","Jita","17.91","116,253.81","12,527.63","3,255.11","9,272.52","1.43","8.9%","97.36"
"","Dense Veldspar","Rens","236,871","23.00","5,448,033.00","Jita","25.03","5,928,881.13","480,848.13","166,008.67","314,839.46","1.33","5.8%","23,687.10"
"","Proton M","Dodixie","400","28.00","11,200.00","Jita","30.02","12,008.00","808.00","336.22","471.78","1.18","4.2%","5.00"
"","Shadow Iron Charge S","Jita","1,000","3.00","3,000.00","Dodixie","3.80","3,800.00","800.00","106.40","693.60","0.69","23.1%","2.50"
"","Scourge Light Missile","Hek","47,100","13.50","635,850.00","Jita","14.46","681,066.00","45,216.00","19,069.85","26,146.15","0.56","4.1%","706.50"
"","Scourge Light Missile","Amarr","710,537","13.50","9,592,249.50","Jita","14.46","10,274,365.02","682,115.52","287,682.22","394,433.30","0.56","4.1%","10,658.06"
"","Scourge Light Missile","Rens","50,000","13.51","675,500.00","Jita","14.46","723,000.00","47,500.00","20,244.00","27,256.00","0.55","4.0%","750.00"
"","Iron Charge S","Amarr","40,000","5.64","225,600.00","Jita","6.14","245,600.00","20,000.00","6,876.80","13,123.20","0.33","5.8%","100.00"
"","Aqueous Liquids","Hek","144,694","2.00","289,388.00","Dodixie","2.26","327,008.44","37,620.44","9,156.24","28,464.20","0.20","9.8%","1,446.94"
"","Aqueous Liquids","Rens","180,803","2.00","361,606.00","Dodixie","2.26","408,614.78","47,008.78","11,441.21","35,567.57","0.20","9.8%","1,808.03"
"","Aqueous Liquids","Hek","144,694","2.00","289,388.00","Amarr","2.21","319,773.74","30,385.74","8,953.66","21,432.08","0.15","7.4%","1,446.94"
"","Aqueous Liquids","Rens","180,803","2.00","361,606.00","Amarr","2.21","399,574.63","37,968.63","11,188.09","26,780.54","0.15","7.4%","1,808.03"
"","Microorganisms","Hek","126,893","1.50","190,339.50","Amarr","1.67","211,911.31","21,571.81","5,933.52","15,638.29","0.12","8.2%","1,268.93"
"","Suspended Plasma","Jita","164,288","1.86","305,575.68","Dodixie","2.01","330,218.88","24,643.20","9,246.13","15,397.07","0.09","5.0%","1,642.88"
